anio,reg,satisfaccion,anomalia
2019,Teruel,,0
2021,Las Palmas,1.0,0
2020,Badajoz,6.0,0
2019,Lleida,1.0,0
2022,Sevilla,5.0,0
2026,Lugo,6.0,0
2019,Ciudad Real,8.0,0
2020,La Rioja,2.0,0
2020,La Coruña,9.0,0
2019,Guadalajara,,0
2021,Murcia,9.0,0
2024,Lleida,10.0,0
2019,Burgos,10.0,0
2021,Lleida,6.0,0
2025,Almería,2.0,0
2022,Pontevedra,4.0,0
2026,Teruel,2.0,0
2021,Cuenca,,0
2025,Las Palmas,1.0,0
2019,León,1.0,0
2025,Murcia,,0
2025,Salamanca,10.0,0
2022,Girona,2.0,0
2025,Burgos,3.0,0
2025,Tarragona,,0
2025,Ciudad Real,1.0,0
2023,Sevilla,7.0,0
2020,Salamanca,,0
2019,Islas Baleares,4.0,0
2020,Melilla,2.0,0
2019,Guipúzcoa,7.0,0
2019,Huesca,,0
2021,León,,0
2023,Huesca,7.0,0
2022,Segovia,5.0,0
2023,Murcia,10.0,0
2021,Cuenca,10.0,0
2023,Zamora,,0
2024,Lugo,10.0,0
2023,Girona,4.0,0
2019,Ávila,3.0,0
2019,Almería,10.0,0
2019,Girona,4.0,0
2022,Teruel,10.0,0
2023,Cantabria,8.0,0
2023,Albacete,1.0,0
2021,Madrid,5.0,0
2020,Guipúzcoa,,0
2026,Melilla,7.0,0
2019,León,5.0,1
2025,Granada,8.0,0
2024,Cantabria,6.0,0
2025,Valladolid,8.0,0
2024,Toledo,9.0,0
2023,Girona,9.0,0
2021,Zamora,6.0,0
2019,Toledo,10.0,0
2024,Barcelona,,0
2019,Barcelona,4.0,0
2023,Pontevedra,4.0,0
2021,Cádiz,8.0,0
2021,Girona,3.0,0
2020,Vizcaya,5.0,0
2022,Vizcaya,,0
2025,Madrid,7.0,0
2024,Tarragona,8.0,0
2023,Barcelona,9.0,0
2019,Lleida,5.0,0
2024,Valencia,,0
2021,Málaga,8.0,0
2021,Vizcaya,7.0,0
2024,Salamanca,6.0,0
2025,Pontevedra,,0
2023,Salamanca,,0
2019,Ceuta,2.0,0
2024,Orense,5.0,0
2020,Lleida,,0
2022,Las Palmas,,0
2025,Sevilla,8.0,0
2025,Sevilla,4.0,0
2024,Guadalajara,10.0,0
2019,Melilla,3.0,0
2026,Jaén,7.0,0
2020,Melilla,2.0,0
2021,Girona,5.0,0
2026,Segovia,8.0,0
2022,Málaga,3.0,0
2023,Segovia,4.0,0
2021,Islas Baleares,,0
2024,Almería,4.0,0
2025,Ceuta,9.0,0
2020,Salamanca,3.0,0
2024,Murcia,10.0,0
2026,Girona,8.0,0
2019,Sevilla,8.0,0
2023,Valladolid,7.0,0
2024,Huelva,8.0,0
2019,Melilla,9.0,0
2020,Guadalajara,4.0,0
2024,Barcelona,10.0,1
2026,Huesca,10.0,0
2019,La Coruña,,0
2022,Almería,8.0,0
2023,León,5.0,0
2023,Zamora,,0
2023,Murcia,1.0,0
2024,Valencia,6.0,0
2025,Cuenca,7.0,0
2022,Sevilla,,0
2022,Cantabria,8.0,0
2025,Asturias,10.0,0
2024,Jaén,9.0,0
2025,Huelva,8.0,0
2022,Lleida,7.0,0
2022,Teruel,10.0,0
2022,La Rioja,7.0,0
2022,Jaén,,0
2024,Girona,9.0,0
2022,Melilla,4.0,0
2025,Melilla,10.0,0
2024,Santa Cruz de Tenerife,1.0,0
2023,Granada,2.0,0
2021,Murcia,6.0,0
2022,Guadalajara,1.0,0
2019,Navarra,2.0,0
2023,Orense,3.0,0
2019,Tarragona,,0
2024,Jaén,6.0,0
2026,Huesca,3.0,0
2024,Alicante,9.0,0
2019,Huesca,7.0,0
2023,Melilla,,0
2021,Guadalajara,3.0,0
2022,Granada,3.0,0
2020,Jaén,,0
2024,Burgos,4.0,0
2019,Girona,5.0,0
2024,Cantabria,2.0,0
2022,Cantabria,,0
2020,Jaén,2.0,0
2023,Asturias,9.0,0
2025,Navarra,,0
2021,Sevilla,2.0,0
2020,Huesca,,0
2025,Sevilla,5.0,0
2023,Lleida,10.0,0
2022,Palencia,5.0,0
2020,Cuenca,4.0,0
2024,La Rioja,1.0,0
2024,León,,1
2025,Murcia,10.0,0
2020,Palencia,7.0,0
2019,Navarra,3.0,0
2025,Salamanca,10.0,0
2019,Guipúzcoa,10.0,0
2019,Zaragoza,,0
2020,Las Palmas,8.0,0
2019,Navarra,9.0,0
2022,Guipúzcoa,8.0,0
2022,La Coruña,5.0,0
2019,Ciudad Real,5.0,0
2025,Sevilla,8.0,0
2020,Soria,1.0,0
2020,Alicante,5.0,0
2019,Orense,4.0,0
2022,Álava,4.0,0
2026,Tarragona,4.0,0
2023,Salamanca,1.0,0
2024,Toledo,4.0,0
2024,Toledo,10.0,0
2019,Lleida,,0
2024,Málaga,8.0,0
2023,Valladolid,4.0,0
2019,Asturias,3.0,0
2026,Ávila,,0
2024,Lugo,4.0,0
2020,Melilla,2.0,0
2019,Lleida,1.0,0
2022,Cuenca,5.0,0
2025,Soria,7.0,0
2023,Girona,7.0,0
2020,Ávila,4.0,0
2023,Valladolid,6.0,0
2019,Cuenca,5.0,0
2024,Lugo,6.0,0
2019,Salamanca,,0
2025,Girona,,0
2020,Navarra,7.0,0
2026,Murcia,10.0,0
2026,Álava,5.0,0
2023,Castellón,2.0,0
2023,Soria,9.0,0
2026,Soria,1.0,0
2025,Orense,,0
2020,Pontevedra,3.0,0
2019,Huesca,8.0,0
2022,La Coruña,2.0,0
2020,Badajoz,5.0,0
2019,Las Palmas,2.0,0
2022,Valladolid,3.0,1
2022,Las Palmas,4.0,0
2024,La Rioja,6.0,0
2023,Madrid,5.0,0
2026,Jaén,9.0,0
2025,Lleida,,0
2021,Santa Cruz de Tenerife,7.0,0
2023,Islas Baleares,7.0,0
2022,Murcia,10.0,0
2020,Ávila,8.0,0
2024,Huelva,2.0,0
2022,Palencia,8.0,0
2023,Albacete,1.0,0
2021,Cantabria,5.0,0
2024,Islas Baleares,,0
2022,Barcelona,7.0,0
2025,Toledo,3.0,0
2024,Santa Cruz de Tenerife,7.0,0
2023,Ceuta,9.0,0
2024,Santa Cruz de Tenerife,8.0,0
2023,Islas Baleares,4.0,0
2025,Santa Cruz de Tenerife,5.0,0
2020,Teruel,5.0,0
2020,Zamora,5.0,0
2023,La Rioja,6.0,0
2020,La Rioja,6.0,0
2022,Alicante,,0
2023,Soria,,0
2019,Valladolid,1.0,0
2019,Álava,8.0,0
2023,Burgos,,0
2025,Vizcaya,4.0,0
2020,León,2.0,0
2025,Santa Cruz de Tenerife,4.0,0
2020,Álava,10.0,0
2025,Asturias,,0
2023,Sevilla,9.0,0
2020,Teruel,4.0,0
2019,Guipúzcoa,1.0,0
2022,Valladolid,5.0,0
2021,Málaga,2.0,0
2020,Alicante,3.0,0
2019,Granada,,0
2019,Lugo,,0
2023,Cuenca,4.0,0
2025,Orense,,0
2022,Almería,,0
2024,Badajoz,1.0,0
2020,Toledo,2.0,0
2020,Huelva,4.0,0
2024,Santa Cruz de Tenerife,6.0,1
2019,Girona,8.0,0
2020,Burgos,2.0,0
2021,Melilla,,0
2019,Albacete,3.0,0
2024,Soria,8.0,0
2022,Cuenca,8.0,0
2025,Santa Cruz de Tenerife,,0
2024,Cuenca,4.0,0
2023,Melilla,6.0,0
2025,Málaga,4.0,0
2024,Huesca,,0
2020,La Rioja,3.0,0
2023,Ceuta,7.0,0
2022,La Rioja,10.0,0
2025,Cuenca,2.0,0
2026,Toledo,1.0,0
2023,Orense,10.0,0
2021,Guadalajara,2.0,0
2023,Segovia,3.0,0
2023,Las Palmas,1.0,0
2025,Ávila,,0
2020,Ceuta,5.0,0
2025,Lleida,4.0,0
2025,Ávila,10.0,0
2019,Cuenca,1.0,0
2024,Ciudad Real,7.0,0
2026,Ávila,5.0,0
2019,Salamanca,5.0,0
2022,Santa Cruz de Tenerife,3.0,0
2023,Vizcaya,,0
2022,Córdoba,6.0,0
2023,Vizcaya,9.0,0
2019,Pontevedra,4.0,0
2021,Granada,2.0,0
2021,Salamanca,5.0,0
2020,Zaragoza,5.0,0
2024,Santa Cruz de Tenerife,5.0,0
2026,Girona,10.0,0
2020,Guadalajara,,0
2026,Guipúzcoa,1.0,0
2025,Soria,7.0,0
2019,Sevilla,3.0,0
2025,Valladolid,4.0,0
2022,Lugo,10.0,0
2025,Navarra,3.0,0
2021,Valencia,3.0,0
2019,Pontevedra,,0
2023,Orense,9.0,0
2019,Badajoz,2.0,0
2022,Huesca,3.0,1
2023,Valladolid,,0
2026,Segovia,1.0,0
2020,Madrid,2.0,0
2022,Barcelona,10.0,0
2021,Alicante,1.0,0
2019,Asturias,5.0,0
2019,Melilla,,0
2019,Islas Baleares,2.0,0
2022,Lleida,3.0,0
2019,Teruel,6.0,0
2020,Asturias,9.0,0
2025,Badajoz,7.0,0
2025,Girona,6.0,0
2022,Santa Cruz de Tenerife,10.0,0
2024,Albacete,,0
2020,Jaén,10.0,0
2026,Córdoba,5.0,0
2023,Badajoz,,0
2023,Badajoz,,0
2024,Palencia,3.0,0
2020,Huelva,4.0,0
2022,Santa Cruz de Tenerife,9.0,0
2021,Valencia,6.0,0
2022,Guadalajara,,0
2019,Guadalajara,5.0,0
2025,Teruel,5.0,0
2019,Palencia,8.0,0
2026,Lleida,9.0,0
2019,Salamanca,3.0,0
2022,Islas Baleares,3.0,0
2024,Islas Baleares,5.0,0
2025,Cuenca,2.0,0
2025,Murcia,4.0,0
2019,Sevilla,7.0,0
2021,Lugo,,0
2021,Sevilla,,0
2024,Toledo,,0
2022,Santa Cruz de Tenerife,3.0,0
2025,Jaén,,0
2025,Ciudad Real,,0
2021,Girona,2.0,0
2019,Huesca,,0
2021,Guipúzcoa,6.0,0
2020,León,6.0,0
2024,Badajoz,3.0,0
2021,Sevilla,10.0,0
2019,La Rioja,,0
2020,Girona,3.0,0
2025,Córdoba,4.0,0
2023,Huelva,3.0,1
2023,Navarra,8.0,0
2019,Soria,,0
2020,Madrid,7.0,0
2019,Pontevedra,3.0,0
2023,Madrid,10.0,0
2025,Lugo,2.0,0
2024,Segovia,2.0,0
2020,Toledo,7.0,0
2025,Girona,7.0,0
2019,Ciudad Real,,0
2025,Jaén,9.0,0
2023,Vizcaya,3.0,0
2024,Cádiz,8.0,0
2023,Santa Cruz de Tenerife,9.0,0
2025,Castellón,9.0,0
2021,Cádiz,7.0,0
2021,Salamanca,4.0,0
2023,Palencia,2.0,0
2021,Zamora,1.0,0
2021,Melilla,1.0,0
2021,Asturias,10.0,0
2021,Ciudad Real,6.0,0
2020,Álava,8.0,0
2025,La Rioja,,0
2024,Lugo,1.0,0
2021,Cantabria,10.0,0
2021,Jaén,,0
2025,Palencia,,0
2020,Girona,10.0,0
2020,Lleida,6.0,0
2021,Castellón,9.0,0
2024,Cáceres,10.0,0
2019,Soria,5.0,0
2023,Burgos,7.0,0
2019,Zamora,2.0,0
2023,Sevilla,1.0,0
2023,Lleida,8.0,0
2026,Melilla,5.0,0
2019,Álava,,0
2022,Palencia,,0
2023,Cuenca,7.0,0
2019,Segovia,6.0,0
2019,Valencia,,0
2021,Jaén,,0
2020,Madrid,1.0,0
2021,Lugo,5.0,0
2020,Castellón,4.0,0
2022,Ceuta,8.0,0
2020,Teruel,3.0,0
2020,Zamora,3.0,1
2019,Castellón,8.0,0
2025,Santa Cruz de Tenerife,9.0,0
2021,Valladolid,,0
2025,Barcelona,,0
2021,Alicante,10.0,0
2023,Lleida,7.0,0
2019,Asturias,,0
2023,Sevilla,2.0,0
2025,Cádiz,3.0,0
2025,Las Palmas,9.0,0
2025,Valladolid,,0
2022,Albacete,10.0,0
2019,Salamanca,2.0,0
2025,Cantabria,5.0,0
2025,Islas Baleares,4.0,0
2025,Huelva,3.0,0
2023,Cáceres,1.0,0
2021,Zamora,,0
2025,Huelva,6.0,0
2022,Segovia,4.0,0
2023,Segovia,2.0,0
2024,Ciudad Real,3.0,0
2019,Castellón,1.0,0
2022,Córdoba,8.0,0
2024,Valencia,5.0,0
2023,Sevilla,1.0,0
2023,Tarragona,10.0,0
2021,Santa Cruz de Tenerife,,0
2025,Burgos,6.0,0
2024,Zamora,5.0,0
2021,Segovia,10.0,0
2019,Murcia,8.0,0
2020,Granada,2.0,0
2023,Zaragoza,7.0,0
2025,Cuenca,1.0,0
2023,Cádiz,9.0,0
2024,Zaragoza,1.0,0
2025,Valencia,,0
2023,Cádiz,,0
2022,Las Palmas,3.0,0
2020,Lugo,10.0,0
2021,Santa Cruz de Tenerife,9.0,0
2021,Alicante,5.0,0
2019,Segovia,1.0,0
2022,Lleida,,0
2022,Segovia,9.0,0
2024,Navarra,9.0,0
2024,Castellón,2.0,0
2021,Melilla,5.0,0
2022,Huesca,,1
2024,Sevilla,7.0,0
2019,Pontevedra,5.0,0
2022,Santa Cruz de Tenerife,5.0,0
2024,Navarra,1.0,0
2020,Huesca,3.0,0
2020,Valencia,10.0,0
2022,Vizcaya,4.0,0
2021,Tarragona,,0
2025,Granada,2.0,0
2022,Badajoz,3.0,0
2025,Valencia,,0
2024,Madrid,10.0,0
2023,Lugo,6.0,0
2020,Badajoz,2.0,0
2024,Cuenca,,0
2025,Toledo,10.0,0
2020,Cantabria,10.0,0
2023,Ciudad Real,3.0,0
2022,Guipúzcoa,10.0,0
2024,Almería,,0
2019,Huelva,4.0,0
2024,Lleida,3.0,0
2019,Burgos,10.0,0
2025,La Coruña,1.0,0
